I, [2017-07-29T23:13:37.194236 #4399]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2017-07-29T23:13:37.194958 #4399] ERROR -- Kitchen: ------Exception-------
E, [2017-07-29T23:13:37.195029 #4399] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-07-29T23:13:37.195085 #4399] ERROR -- Kitchen: Message: Kitchen YAML file /Users/d-b/Documents/chef/learn-chef/mongodb/.kitchen.yml does not exist.
E, [2017-07-29T23:13:37.195121 #4399] ERROR -- Kitchen: ----------------------
E, [2017-07-29T23:13:37.195143 #4399] ERROR -- Kitchen: ------Backtrace-------
E, [2017-07-29T23:13:37.195163 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-07-29T23:13:37.195182 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2017-07-29T23:13:37.195201 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-07-29T23:13:37.195226 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-07-29T23:13:37.195245 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-07-29T23:13:37.195263 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-07-29T23:13:37.195281 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-07-29T23:13:37.195300 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-07-29T23:13:37.195318 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-07-29T23:13:37.195336 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2017-07-29T23:13:37.195374 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-07-29T23:13:37.195393 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-07-29T23:13:37.195411 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-07-29T23:13:37.195435 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-07-29T23:13:37.195453 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-07-29T23:13:37.195470 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-07-29T23:13:37.195488 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-07-29T23:13:37.195506 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-07-29T23:13:37.195530 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-07-29T23:13:37.195549 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-07-29T23:13:37.195567 #4399] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2017-07-29T23:13:37.195585 #4399] ERROR -- Kitchen: /usr/local/bin/kitchen:263:in `load'
E, [2017-07-29T23:13:37.195602 #4399] ERROR -- Kitchen: /usr/local/bin/kitchen:263:in `<main>'
E, [2017-07-29T23:13:37.195633 #4399] ERROR -- Kitchen: ----End Backtrace-----
